voyage_ID,region_of_purchase,resistance,region_of_landing,vessel_name,
20199,Southeast Africa and Indian Ocean islands,Slave insurrection,Cuba,Ascension,
20103,Southeast Africa and Indian Ocean islands,Slave insurrection,Rio de la Plata,Ascension,
20199,Sierra Leone,Slave insurrection,Georgia,Liberty,
20105,Gold Coast,Slave insurrection,Georgia,Mary,
20199,Southeast Africa and Indian Ocean islands,Slave insurrection,Cuba,Oneida,
10433,Southeast Africa and Indian Ocean islands,Slave insurrection,Rio de la Plata,Saint Michael,
21302,Senegambia and offshore Atlantic,Vessel's boats attacked from shore,South Carolina,Young Prince George,
10433,Senegambia and offshore Atlantic,Slave insurrection,Jamaica,Anne,
10433,Sierra Leone,Slave insurrection,Barbados,Samuel,
10433,West Central Africa and St. Helena,Slave insurrection,Barbados,Mary,
10433,Senegambia and offshore Atlantic,Vessel's boats attacked from shore,Barbados,John and Ann,
10433,Gold Coast,Slave insurrection,Jamaica,Kings Fisher,
10433,Senegambia and offshore Atlantic,Slave insurrection,Florida,Polly,
10433,Senegambia and offshore Atlantic,Slave insurrection,South Carolina,Black Prince,
10433,Gold Coast,Slave insurrection,Jamaica,Elizabeth,
10432,West Central Africa and St. Helena,Vessel's boats attacked from shore,Gulf coast,Alexander,
10432,Gold Coast,Slave insurrection,Jamaica,Alice,
10432,Sierra Leone,Slave insurrection,Jamaica,Ann,
10432,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,Jamaica,Backhouse,
10433,West Central Africa and St. Helena,Slave insurrection,Jamaica,Bedford,
10433,Gold Coast,Slave insurrection,Jamaica,Bedford,
10432,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,Barbados,Christopher,
10432,Windward Coast,Slave insurrection,Barbados,Diana,
10411,Gold Coast,Slave insurrection,Jamaica,Eagle,
10432,Sierra Leone,Cut-off (meaning unclear),Grenada,Eliza,
10432,Bight of Biafra and Gulf of Guinea islands,Vessel's boats attacked from shore,Jamaica,Elizabeth,
10433,Gold Coast,Vessel attacked from shore,British Guiana,Frederick,
10432,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,Jamaica,Governor Parry,
10432,Sierra Leone,Slave insurrection,Barbados,Hibernia,
10432,Senegambia and offshore Atlantic,Slave insurrection,British Guiana,Lucy,
10432,West Central Africa and St. Helena,Three or more slaves jumping overboard missing or escaped,Dominica,Madam Pookata,
10432,Bight of Biafra and Gulf of Guinea islands,Vessel's boats attacked from shore,Dutch Guianas,Roehampton,
10433,Sierra Leone,Slave insurrection,Jamaica,Sandown,
10432,West Central Africa and St. Helena,Slave insurrection,Jamaica,Trelawney,
10432,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,Jamaica,Vulture,
10432,West Central Africa and St. Helena,Slave insurrection,Martinique,Willy Tom Robin,
10432,Senegambia and offshore Atlantic,Slave insurrection,South Carolina,Lamb,
10432,Gold Coast,Slave insurrection,Tortola,Adlington,
10432,Windward Coast,Slave insurrection,Jamaica,Adlington,
10432,Gold Coast,Slave insurrection,South Carolina,Brownlow,
10432,Windward Coast,Vessel's boats attacked from shore,Barbados,Floramell,
10432,Windward Coast,Insurrection planned but thwarted,Antigua,Duke of Argyle,
10432,Windward Coast,Slave insurrection,St. Kitts,African,
10432,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,Barbados,Barclay,
10432,Bight of Benin,Slave insurrection,South Carolina,Rainbow,
10432,Senegambia and offshore Atlantic,Slave insurrection,Montserrat,Thomas,
10432,Senegambia and offshore Atlantic,Slave insurrection,Montserrat,Thomas,
10432,Gold Coast,Vessel's boats attacked from shore,Jamaica,Greyhound,
10432,Gold Coast,Slave insurrection,South Carolina,Mears,
10432,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,Barbados,William,
10432,Senegambia and offshore Atlantic,Slave insurrection,Montserrat,Thomas,
10432,Gold Coast,Slave insurrection,Jamaica,Shark,
10432,Windward Coast,Vessel's boats attacked from shore,Antigua,Racehorse,
10432,Senegambia and offshore Atlantic,Slave insurrection,Barbados,Nanny,
10432,Windward Coast,Vessel attacked from shore,Virginia,Ann and Betty,
10432,Senegambia and offshore Atlantic,Insurrection planned,but thwarted,Maryland,Upton
10432,West Central Africa and St. Helena,Vessel's boats attacked from shore,Barbados,Johnson,
10432,Sierra Leone,Vessel's boats attacked from shore,St. Kitts,Snapper,
10432,Bight of Benin,Vessel attacked from shore,Jamaica,Fanny,
10432,Bight of Biafra and Gulf of Guinea islands,Vessel attacked from shore,Dominica,Latham,
10432,Gold Coast,Slave insurrection,Jamaica,Tryal,
10432,Sierra Leone,Vessel attacked from shore,Sierra Leone,Favourite,
10432,Sierra Leone,Slave insurrection,South Carolina,Jenny (a) Nancy,
10432,Windward Coast,Slave insurrection,Dominica,Delight,
10432,Bight of Benin,Slave insurrection,Jamaica,Unity,
10432,Bight of Benin,Slave insurrection,Jamaica,True Blue,
10432,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,Dominica,Lord Cassils,
10432,Windward Coast,Slave insurrection,Barbados,Matty,
10432,Senegambia and offshore Atlantic,Slave insurrection,Barbados,Lively,
10432,Windward Coast,Vessel attacked from shore,Barbados,Burrowes,
10432,Senegambia and offshore Atlantic,Slave insurrection,Grenada,Galam,
10432,Gold Coast,Slave insurrection,Barbados,Hare,
10432,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,St. Vincent,Falstaff,
10432,Bight of Biafra and Gulf of Guinea islands,Slave insurrection,Jamaica,True Briton,
